Stock*,Open,High,Low,Last*,Vol*
ACO,0.29,0.3,0.28,0.29,43548
AEMULUS,1.06,1.08,1.04,1.05,39572
AIM,0.235,0.235,0.22,0.235,9191
AIMFLEX,0.155,0.16,0.155,0.16,78172
ANCOMLB,0.29,0.335,0.275,0.33,123014
ANEKA,0.25,0.255,0.25,0.25,751
APPASIA,0.145,0.145,0.135,0.135,37931
APPASIA-WA,0.105,0.105,0.105,0.105,71
APPASIA-WB,0.075,0.075,0.07,0.075,20080
ARTRONIQ,0.3,0.305,0.285,0.295,5050
ASDION,0.26,0.26,0.245,0.25,41280
ASIAPLY,0.18,0.18,0.175,0.18,23127
ASIAPLY-PA,-,-,-,-,0
ASIAPLY-WB,0.095,0.095,0.095,0.095,400
AT,0.055,0.065,0.055,0.06,270225
AT-WC,0.04,0.045,0.04,0.04,6560
BAHVEST,0.505,0.51,0.5,0.51,7628
BAHVEST-WA,0.29,0.3,0.29,0.29,1685
BCMALL,0.05,0.055,0.05,0.05,102018
BCMALL-WA,0.015,0.015,0.01,0.01,22033
BINACOM,0.375,0.39,0.37,0.38,134903
BIOHLDG,0.22,0.225,0.22,0.22,25117
BIOHLDG-PA,0.085,0.09,0.085,0.09,1180
BIOHLDG-WA,0.03,0.035,0.03,0.035,4087
BTECH,-,-,-,-,0
CABNET,0.305,0.305,0.295,0.3,1850
CAREPLS,1.21,1.29,1.21,1.24,145091
CATCHA,0.2,0.2,0.2,0.2,821
CEKD,0.545,0.55,0.525,0.525,65459
DGB,0.045,0.05,0.04,0.05,449942
DGB-WC,0.02,0.02,0.02,0.02,110706
DGSB,0.095,0.095,0.09,0.095,2655
DPIH,0.505,0.535,0.5,0.51,110888
EAH,0.02,0.02,0.02,0.02,20202
EAH-WD,-,-,-,-,0
EAH-WE,-,-,-,-,0
EDUSPEC,0.02,0.02,0.015,0.015,8507
EDUSPEC-WB,0.01,0.01,0.005,0.01,2100
EFRAME,0.485,0.485,0.475,0.48,971
ESAFE,0.3,0.305,0.3,0.305,7718
ESCERAM,0.395,0.425,0.395,0.415,44619
ESCERAM-WB,0.195,0.22,0.195,0.21,9776
FAST,0.255,0.255,0.23,0.235,89221
FINTEC,0.02,0.02,0.015,0.015,24439
FINTEC-PA,-,-,-,-,0
FINTEC-WA,-,-,-,-,0
FINTEC-WB,0.005,0.01,0.005,0.005,7213
FINTEC-WC,0.005,0.01,0.005,0.01,510
FLEXI,0.31,0.315,0.3,0.3,2173
FOCUS,0.055,0.06,0.055,0.055,96948
FOCUS-PA,0.01,0.01,0.01,0.01,10001
FOCUS-WD,0.01,0.01,0.005,0.005,9459
FOCUSP,0.745,0.76,0.745,0.745,283
GENETEC,36.86,37.8,35.52,36,4025
GFM,0.255,0.26,0.25,0.26,29058
GFM-WC,0.055,0.06,0.05,0.06,7081
GNB,-,-,-,-,0
GOCEAN,0.035,0.055,0.035,0.05,948460
GOCEAN-WB,0.015,0.02,0.015,0.02,113828
HAILY,0.535,0.57,0.535,0.565,11032
HEXIND,0.165,0.165,0.13,0.14,129049
HEXIND-OR,0.005,0.015,0.005,0.005,1392134
HEXIND-WA,0.025,0.03,0.015,0.025,21625
HHGROUP,0.57,0.615,0.53,0.54,27594
HHGROUP-WA,0.495,0.495,0.435,0.44,60
HHHCORP,0.15,0.15,0.14,0.145,125706
HLT,0.56,0.595,0.56,0.575,104122
HLT-WA,0.355,0.4,0.355,0.37,18567
HPPHB,0.52,0.55,0.515,0.525,21981
IDMENSN,0.11,0.11,0.105,0.105,4081
IFCAMSC,0.33,0.33,0.32,0.33,2431
INIX,0.1,0.11,0.1,0.105,8229
INNITY,0.59,0.59,0.575,0.575,465
IRIS,0.225,0.23,0.225,0.225,52855
JAG,0.325,0.34,0.32,0.34,217861
JFTECH,1.46,1.47,1.41,1.41,22507
JFTECH-WA,0.69,0.695,0.665,0.665,15785
K1,0.235,0.25,0.23,0.24,58463
K1-WC,0.02,0.025,0.02,0.025,7642
KANGER,0.05,0.05,0.045,0.05,1045815
KANGER-WB,0.01,0.015,0.01,0.015,205673
KGROUP,0.03,0.035,0.03,0.03,130712
KGROUP-WC,0.01,0.01,0.01,0.01,10820
KHJB,0.27,0.27,0.265,0.27,3491
KRONO,0.625,0.63,0.62,0.62,11094
KTC,0.16,0.165,0.155,0.16,26451
LAMBO,0.07,0.08,0.065,0.075,95268
LAMBO-WB,0.02,0.02,0.02,0.02,2500
LAMBO-WC,0.02,0.03,0.02,0.03,84626
LKL,0.205,0.21,0.2,0.2,124666
LYC,0.255,0.26,0.255,0.255,3041
M3TECH,0.055,0.06,0.055,0.06,572
MACPIE,0.105,0.12,0.105,0.12,174445
MACPIE-WB,0.035,0.035,0.03,0.035,60314
MAG,0.175,0.185,0.17,0.175,141966
MAG-WB,0.045,0.045,0.04,0.04,18438
MATANG,0.09,0.095,0.09,0.09,23083
MCLEAN,0.385,0.385,0.38,0.38,3680
MEGASUN,0.125,0.13,0.125,0.13,6904
MESTRON,0.33,0.335,0.325,0.33,27976
MESTRON-WA,0.15,0.16,0.15,0.15,43312
MGRC,2.31,2.31,2.22,2.26,105231
MICROLN,0.6,0.61,0.6,0.61,2250
MIKROMB,0.22,0.22,0.215,0.215,2729
MLAB,0.045,0.045,0.045,0.045,150041
MLAB-WC,-,-,-,-,0
MMAG,0.095,0.095,0.09,0.09,28426
MMAG-PA,-,-,-,-,0
MMAG-WB,0.035,0.035,0.035,0.035,204
MNC,0.03,0.03,0.03,0.03,9150
MNC-PA,-,-,-,-,0
MNC-WA,-,-,-,-,0
MNC-WB,-,-,-,-,0
MOBILIA,0.48,0.485,0.47,0.475,36030
MPAY,0.245,0.245,0.24,0.24,23897
MQTECH,0.06,0.065,0.06,0.06,72381
MQTECH-WA,0.005,0.01,0.005,0.005,7771
MTAG,0.64,0.645,0.635,0.64,2529
MTOUCHE,0.105,0.11,0.095,0.105,61553
MTOUCHE-WD,0.03,0.035,0.03,0.035,21985
N2N,0.725,0.73,0.72,0.725,1382
N2N-WB,0.195,0.2,0.19,0.195,1510
NADIBHD,0.305,0.31,0.3,0.305,2753
NESTCON,0.415,0.415,0.375,0.385,104195
NETX,0.165,0.17,0.16,0.165,37547
NETX-WC,0.035,0.04,0.035,0.04,181
NEXGRAM,0.025,0.025,0.02,0.025,6345
NEXGRAM-WA,0.005,0.005,0.005,0.005,24416
NEXGRAM-WB,-,-,-,-,0
NEXGRAM-WC,0.01,0.01,0.01,0.01,3200
NOVAMSC,0.125,0.13,0.12,0.13,17702
NOVAMSC-PA,-,-,-,-,0
OPCOM,1.07,1.14,1.05,1.09,307172
OPENSYS,0.425,0.43,0.425,0.43,3682
OPTIMAX,1.45,1.47,1.42,1.47,6684
ORION,0.045,0.045,0.045,0.045,6140
ORION-WA,0.01,0.01,0.01,0.01,600
OSKVI,0.44,0.44,0.44,0.44,4
OVERSEA,0.095,0.095,0.095,0.095,1881
OVERSEA-WA,0.025,0.035,0.025,0.03,43331
OVH,0.285,0.29,0.28,0.29,4650
PARLO,0.22,0.225,0.21,0.21,119785
PASUKGB,0.055,0.055,0.05,0.05,177168
PASUKGB-WA,0.015,0.015,0.01,0.015,39335
PEKAT,0.74,0.74,0.725,0.735,12124
PINEAPP,1.08,1.21,1.08,1.17,6790
PLABS,0.245,0.245,0.24,0.245,3516
PRIVA,0.17,0.175,0.165,0.17,32875
PUC,0.14,0.14,0.135,0.135,49362
PUC-WA,0.095,0.095,0.095,0.095,310
PWRWELL,0.21,0.21,0.205,0.21,5767
QES,0.765,0.79,0.765,0.775,43506
RAMSSOL,0.9,0.91,0.88,0.89,40307
REDTONE,0.5,0.515,0.5,0.51,11729
REVENUE,1.86,1.87,1.85,1.86,4063
REVENUE-WA,1.09,1.09,1.09,1.09,1515
REXIT,0.965,0.965,0.95,0.96,634
RGTECH,0.35,0.36,0.345,0.36,22974
RL,0.605,0.615,0.59,0.595,35939
RL-WA,0.305,0.305,0.285,0.295,10944
SAMAIDEN,1.11,1.11,1.07,1.08,3859
SAMAIDEN-WA,0.315,0.32,0.315,0.315,3066
SANICHI,0.035,0.035,0.03,0.035,25511
SANICHI-WE,-,-,-,-,0
SANICHI-WF,0.01,0.01,0.01,0.01,3510
SCBUILD,0.1,0.1,0.09,0.09,12271
SCC,0.37,0.375,0.37,0.375,438
SCGBHD,0.495,0.5,0.48,0.48,48840
SCOMNET,1.77,1.83,1.76,1.77,13086
SCOMNET-WA,1.15,1.15,1.12,1.15,210
SCOPE,0.36,0.37,0.35,0.365,258411
SDS,0.345,0.345,0.335,0.335,2217
SEDANIA,0.63,0.64,0.62,0.625,47010
SERSOL,0.445,0.46,0.44,0.455,55868
SERSOL-WA,0.265,0.275,0.265,0.27,11961
SLVEST,1.32,1.33,1.29,1.3,32367
SLVEST-WA,0.62,0.625,0.61,0.615,8221
SMETRIC,0.125,0.13,0.125,0.13,33991
SMETRIC-WA,0.045,0.045,0.045,0.045,3519
SMRT,0.14,0.14,0.135,0.14,741
SMTRACK,0.1,0.1,0.095,0.095,11939
SOLUTN,0.685,0.685,0.66,0.68,18808
SPRING,0.24,0.24,0.24,0.24,800
SPRING-WA,0.11,0.11,0.105,0.105,2251
SRIDGE,0.22,0.22,0.205,0.21,3412
SRIDGE-WA,-,-,-,-,0
STRAITS,0.18,0.185,0.175,0.175,84309
STRAITS-WA,0.105,0.115,0.105,0.105,32784
SUNZEN,0.23,0.235,0.225,0.235,10027
SYSTECH,0.22,0.225,0.22,0.225,12723
TASHIN,0.57,0.575,0.555,0.555,6670
TCS,0.44,0.45,0.44,0.445,594
TCS-WA,0.15,0.15,0.15,0.15,187
TDEX,0.155,0.155,0.145,0.155,2169
TELADAN,0.68,0.685,0.66,0.675,39461
TELADAN-WA,0.305,0.31,0.2,0.225,166064
TEXCYCL,0.42,0.425,0.42,0.42,637
TFP,0.11,0.115,0.105,0.115,56455
TFP-WB,0.09,0.095,0.085,0.095,2041
TRIMODE,0.71,0.72,0.7,0.705,4745
UCREST,0.27,0.27,0.265,0.27,83443
VC,0.075,0.075,0.07,0.075,7330
VC-PA,-,-,-,-,0
VC-WB,-,-,-,-,0
VC-WC,0.03,0.03,0.025,0.03,5686
VINVEST,0.405,0.41,0.4,0.4,34844
VINVEST-WE,0.15,0.15,0.145,0.145,2587
VIS,1.47,1.59,1.42,1.45,100653
VIS-WB,0.81,0.9,0.795,0.825,86401
VOLCANO,0.505,0.505,0.495,0.5,7145
VSOLAR,0.015,0.02,0.01,0.015,329135
VSOLAR-WB,0.01,0.01,0.01,0.01,1701
WAJA,0.15,0.155,0.15,0.155,23841
WIDAD,0.385,0.4,0.38,0.39,807307
WIDAD-WA,0.2,0.21,0.195,0.205,41410
XOX,0.04,0.04,0.035,0.035,19667
XOX-PA,-,-,-,-,0
XOX-WB,0.015,0.015,0.015,0.015,3719
XOX-WC,0.01,0.01,0.01,0.01,159364
YBS,0.36,0.365,0.355,0.36,21541
YGL,0.2,0.21,0.2,0.21,2124
3A,0.96,0.96,0.94,0.945,9255
AASIA,0.12,0.125,0.12,0.125,270
AAX,0.085,0.085,0.08,0.08,33909
ABLEGLOB,1.7,1.79,1.7,1.78,28429
ABLEGRP,0.115,0.12,0.115,0.115,3033
ABMB,2.56,2.57,2.55,2.57,3164
ACME,0.23,0.23,0.225,0.225,2243
ACME-WA,-,-,-,-,0
ADVCON,0.33,0.33,0.325,0.325,1111
ADVENTA,1.19,1.28,1.16,1.21,87630
ADVPKG,2.64,2.64,2.64,2.64,20
AEM,0.04,0.05,0.04,0.05,53372
AEM-WB,0.015,0.015,0.015,0.015,26676
AEON,1.49,1.51,1.49,1.5,7595
AEONCR,12.24,12.38,12.2,12.36,2702
